EMPLOYEE#,SURNAME,GENDER,FIRST_NAME,Person Clevel,Position Clevel,Clevel3 Description,Clevel4 Description2,Clevel6 Description3,TITLE,CATEGORY,CLASSIFICATION,STEP#,JOB#,COMMENCE_DATE,OCCUP_TERM_DATE,Person FTE,Position FTE,EMP_STATUS,POSITION#
00674358,,F,,1B13AD010,1B13AD010,Faculty of SABL,School of Law,Law,Casual Academic,AC,CA,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008896
00674358,,F,,1B13AE030,1B13AE030,Faculty of SABL,UNE Business School,UNE Business School - Economics,Casual Academic,AC,CA,01,08,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013336
00690729,,M,,1B14AB000,1B14AB000,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine Office,Casual Student Rate 1,GE,HEOS1,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011169
00690729,,M,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Casual Student Rate 2,GE,HEOS2,01,02,08/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000014198
00682647,,M,,1B13AB000,1B13AB000,Faculty of SABL,School of Environmental & Rural Science,School of Environmental & Rural Science Office,Casual General HEO8,GE,CAS8,01,08,30/Jun/2018 ,31/Dec/2018 ,0,0,CA,0000008615
00682647,,M,,1B13AC000,1B13AC000,Faculty of SABL,School of Science & Technology,School of Science & Technology Office,Casual General HEO10,GE,CAS10,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008627
00682647,,M,,1B13AE000,1B13AE000,Faculty of SABL,UNE Business School,UNE Business School Office,Casual General HEO10,GE,CAS10,01,09,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000009337
00677023,,F,,1B14AD050,1B14AD050,Faculty of Medicine & Health,School of Health,School of Health - Social Work,Casual Academic,AC,CA,01,01,01/Jul/2018 ,08/Mar/2019 ,0,0,CA,0000013347
00677023,,F,,1B14AD050,1B14AD050,Faculty of Medicine & Health,School of Health,School of Health - Social Work,Lecturer in Social Work,AC,ATB,03,04,01/Jan/2018 ,06/Aug/2018 ,0.2,0.2,TE,0000013928
00660212,,F,,1B12AC000,1B12AC000,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences","School of Humanities, Arts & Social Sciences Offic",Casual General HEO 4,GE,CAS4,01,11,12/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008429
00660212,,F,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Casual General HEO5,GE,CAS5,01,10,19/Jun/2018 ,22/Dec/2018 ,0,0,CA,0000013319
00614185,,F,,1B13AE020,1B13AE020,Faculty of SABL,UNE Business School,UNE Business School - Management,Casual Academic,AC,CA,01,06,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013335
00614185,,F,,1K01AE000,1K01AE000,Teaching and Learning,Teaching Support,Teaching Support,Manager Learning Design & Media,GE,HEO9A,03,01,20/Mar/2018 ,31/Dec/2049 ,1,1,PE,0000013366
00679235,,M,,1B12AB000,1B12AB000,Faculty of HASS & Education,School of Education,School of Education Office,Convenor of Program Impact by Research,AC,ATC,05,08,01/Feb/2018 ,31/Dec/2018 ,0.4,1,TE,0000014038
00679235,,M,,1B12AB040,1B12AB040,Faculty of HASS & Education,School of Education,School of Education - Science Education,Senior Lecturer in STEM Education,AC,ATC,05,07,01/Feb/2018 ,31/Dec/2049 ,0.6,1,PE,2711
00687190,,M,,1B13AB060,1B13AB060,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Ecosystem Management,Casual Academic,AC,CA,01,01,19/Jun/2018 ,31/Oct/2018 ,0,0,CA,0000013314
00687190,,M,,1B13AB060,1B13AB060,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Ecosystem Management,Technical Officer,GE,HEO4A,04,02,19/Jun/2018 ,31/Dec/2018 ,0.5,0.5,TE,0000013879
00691367,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Casual General HEO3,GE,CAS3,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008744
00691367,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Customer Service Officer,GE,HEO4A,01,02,01/May/2018 ,09/Jul/2018 ,1,1,TE,0000010007
00691521,,F,,1B14AA000,1B14AA000,Faculty of Medicine & Health,Office of Faculty of Medicine and Health,Office of Faculty of Medicine and Health,"Clinical Facilitator, Nursing",GE,HEO6A,01,02,21/May/2018 ,13/May/2019 ,1,1,TE,0000014130
00691521,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Casual Academic,AC,CA,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013391
00690946,,F,,1B10AA000,1B10AA000,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala ITAS Tutor,AC,ITAS,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CANL,0000006719
00690946,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012376
00655911,,M,,1B13AA000,1B13AA000,Faculty of SABL,"Office of Faculty of Science, Ag, Business and Law","Office of Faculty of Science, Ag, Business and Law",Deputy Associate Dean Research,EXECA,369,,05,05/Mar/2018 ,04/Mar/2021 ,0.5,1,TE,0000014006
00655911,,M,,1B13AB060,1B13AB060,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Ecosystem Management,Associate Professor (Terrestrial Carbon),AC,ATD,01,04,01/Jul/2018 ,30/Jun/2023 ,0.5,1,TE,0000012030
00678565,,M,,1B13AC010,1B13AC010,Faculty of SABL,School of Science & Technology,School of S&T - Chemistry,Casual Academic,AC,CA,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013327
00678565,,M,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Casual General HEO4,GE,CAS4,01,08,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008744
00679978,,F,,1B13AD000,1B13AD000,Faculty of SABL,School of Law,School of Law Office,Casual General HEO5,GE,CAS5,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000009543
00679978,,F,,1K03AA000,1K03AA000,University Library,University Library,University Library,Casual General HEO 3,GE,CAS3,01,05,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008839
00657803,,F,,1L01AA000,1L01AA000,Research Services,Research Services,Research Services,Research Engagement and Impact Data Officer,GE,HEO5A,05,06,21/Aug/2017 ,20/Aug/2018 ,1,1,TE,0000013921
00680352,,F,,1B13AC000,1B13AC000,Faculty of SABL,School of Science & Technology,School of Science & Technology Office,Program Leader - UNE Discovery,GE,HEO8A,03,07,13/Jun/2018 ,16/Dec/2018 ,1,1,TE,0000013566
00691809,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Academic,AC,CA,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012376
00683132,,M,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Casual Student Rate 2,GE,HEOS2,01,02,01/Jul/2018 ,31/Aug/2018 ,0,0,CA,0000013319
00089023,,M,,1B12AA000,1B12AA000,Faculty of HASS & Education,Office of Faculty of HASS & Education,Office of Faculty of HASS & Education,Educational Support Officer,GE,HEO5A,05,16,25/Jun/2018 ,31/Dec/2049 ,1,1,PE,0000013456
00689934,,M,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Senior Technical Officer (Meat Science),GE,HEO6A,01,02,21/May/2018 ,13/May/2020 ,1,1,TE,0000014131
00692212,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Casual General Student Rate 1,GE,HEOS1,01,01,19/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013696
00674679,,M,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Associate Professor (Obstetrics and Gynaecology),AC,ATD,01,03,01/Jan/2018 ,31/Dec/2049 ,0.5,0.5,PE,0000013294
00674559,,F,,1F00AA000,1F00AA000,Legal and Governance,Legal and Governance,Legal and Governance,Compliance System Manager,GE,HEO9A,04,03,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000013064
00665054,,F,,1B13AE020,1B13AE020,Faculty of SABL,UNE Business School,UNE Business School - Management,Senior Lecturer in Management (Strategy and Marketing),AC,ATC,03,17,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009286
00674718,,M,,1B12AC000,1B12AC000,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences","School of Humanities, Arts & Social Sciences Offic",Casual General HEO4,GE,CAS4,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008429
00672573,,F,,1B12AB060,1B12AB060,Faculty of HASS & Education,School of Education,School of Education - School Experience Practicum,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013343
00660574,,F,,1B12AB040,1B12AB040,Faculty of HASS & Education,School of Education,School of Education - Science Education,Lecturer in ICT Education,AC,ATB,02,09,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000012809
00613087,,M,,1B12AC090,1B12AC090,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Indonesian,Senior Lecturer,AC,ATC,02,01,13/Feb/2018 ,31/Dec/2049 ,1,1,PE,0000007114
00689218,,M,,1K03AD050,1K03AD050,University Library,Client Services,Learning and Teaching Services,Learning & Teaching Services Librarian,GE,HEO6A,02,01,09/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000013625
00613239,,F,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Associate Professor in Biomedical Sciences,AC,ATD,04,15,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011436
00689412,,M,,1K01AA000,1K01AA000,Teaching and Learning,Teaching and Learning,Teaching and Learning,Casual Student HEOS2,GE,HEOS2,01,05,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008663
00687155,,F,,1B13AE030,1B13AE030,Faculty of SABL,UNE Business School,UNE Business School - Economics,Casual Academic,AC,CA,01,01,30/Jun/2018 ,16/Oct/2018 ,0,0,CA,0000013336
00690917,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Casual Student Rate 1,GE,HEOS1,01,01,30/Jun/2018 ,29/Sep/2018 ,0,0,CA,0000013696
00687242,,M,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Casual Student Rate 2,GE,HEOS2,01,02,30/Jun/2018 ,29/Sep/2018 ,0,0,CA,0000013319
00692213,,F,,1B12AC090,1B12AC090,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Indonesian,Lecturer in Indonesian,AC,ATB,06,01,25/Jun/2018 ,31/Dec/2049 ,0.5,0.5,PE,0000014012
00152945,,M,,1B10AA000,1B10AA000,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Elder in Residence,GE,HEO7A,04,10,15/Jun/2018 ,31/Dec/2049 ,0.57143,1,PE,0000012037
00690233,,M,,1B13AB010,1B13AB010,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Agronomy & Soil Science,Casual General HEO5,GE,CAS5,01,02,02/Jul/2018 ,08/Mar/2019 ,0,0,CA,0000013318
00692103,,F,,1B14AD050,1B14AD050,Faculty of Medicine & Health,School of Health,School of Health - Social Work,Casual Academic,AC,CA,01,01,31/May/2018 ,08/Mar/2019 ,0,0,CA,0000013347
00687456,,M,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Casual Academic,AC,CA,01,02,30/Jun/2018 ,05/Oct/2018 ,0,0,CA,0000013329
00689515,,M,,1B12AC210,1B12AC210,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Sociology and Criminology,Lecturer in Criminology,AC,ATB,03,01,03/Apr/2018 ,31/Dec/2049 ,1,1,PE,0000012728
00663608,,M,,1B13AD010,1B13AD010,Faculty of SABL,School of Law,Law,Lecturer in Law,AC,ATB,01,07,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009282
00687166,,M,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Postdoctoral Fellow,AC,ARA,08,02,19/Feb/2018 ,07/Sep/2018 ,1,1,TE,0000014052
00688236,,M,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Casual Student Rate 1,GE,HEOS1,01,01,30/Jun/2018 ,31/Oct/2018 ,0,0,CA,0000008795
00661484,,M,,1B13AD010,1B13AD010,Faculty of SABL,School of Law,Law,Casual Academic,AC,CA,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008896
00691609,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Casual Academic,AC,CA,01,01,19/Mar/2018 ,13/Jul/2018 ,0,0,CA,0000013391
00658856,,F,,1N04AC000,1N04AC000,UNE Life,Medical Centre,Medical Centre,Practice Nurse,GE,HEO6A,05,02,01/Jul/2017 ,31/Dec/2049 ,0.51429,0.5143,PE,0000010201
00676867,,F,,1B12AD000,1B12AD000,Faculty of HASS & Education,SiMERR,SiMERR,"Casual Lect B, Base+5 - VC Approved",AC,ATB,,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013930
00687130,,F,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Lecturer in Rural Medicine,AC,ATB,01,04,30/Mar/2018 ,31/Dec/2018 ,0.6,0.6,TE,0000013845
00687355,,F,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Casual Academic,AC,CA,01,03,30/Jun/2018 ,05/Oct/2018 ,0,0,CA,0000013329
00676296,,F,,1B12AC190,1B12AC190,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Geography & Planning,Lecturer in Human Geography,AC,ATA,08,13,05/Feb/2018 ,04/Feb/2019 ,1,1,TE,0000006228
00688019,,M,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Junior Research Fellow Statistical Genetics and Genomics,AC,ARA,02,01,04/Jul/2018 ,28/Feb/2019 ,1,1,TE,0000013576
00690210,,M,,1B13AB000,1B13AB000,Faculty of SABL,School of Environmental & Rural Science,School of Environmental & Rural Science Office,Casual General HEO3,GE,CAS3,01,01,01/Jul/2018 ,22/Dec/2018 ,0,0,CA,0000008615
00681820,,M,,1N05AE000,1N05AE000,UNE Residential System,Mary White College,Mary White College,Head of College (Mary White),GE,HEO0A,01,01,13/Mar/2017 ,31/Dec/2049 ,1,1,PE,0000011647
00681944,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Clinical Nurse Educator - Nursing,AC,CNE,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008547
00655547,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Customer Service Officer (Admissions),GE,HEO5A,04,05,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000012811
00659124,,F,,1B13AC000,1B13AC000,Faculty of SABL,School of Science & Technology,School of Science & Technology Office,Executive Assistant to Head of School,GE,HEO5A,05,01,01/Jan/2018 ,31/Dec/2049 ,0.68571,1,PE,0000011399
00681072,,M,,1B12AC210,1B12AC210,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Sociology and Criminology,Lecturer in Historical Criminology,AC,ATB,02,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000012761
00691385,,F,,1B14AD000,1B14AD000,Faculty of Medicine & Health,School of Health,School of Health Office,Casual Academic,AC,CA,01,01,30/Jun/2018 ,21/Dec/2018 ,0,0,CA,0000008544
00682133,,M,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Casual General HEO4,GE,CAS4,01,03,30/Jun/2018 ,29/Dec/2018 ,0,0,CA,0000013319
00689177,,M,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Casual Student Rate 2,GE,HEOS2,01,02,30/Jun/2018 ,31/Aug/2018 ,0,0,CA,0000013319
00691438,,M,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Casual General Student Rate 1,GE,HEOS1,01,01,30/Jun/2018 ,31/Oct/2018 ,0,0,CA,0000008795
00691607,,F,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Casual Student Rate 1,GE,HEOS1,01,01,30/Jun/2018 ,31/Jul/2018 ,0,0,CA,0000008795
00687728,,F,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Casual General HEO4,GE,CAS4,01,01,30/Jun/2018 ,31/Dec/2018 ,0,0,CA,0000008795
00680404,,M,,1B12AD000,1B12AD000,Faculty of HASS & Education,SiMERR,SiMERR,Web Programmer,GE,HEO6A,05,05,01/Jan/2018 ,31/Dec/2018 ,1,1,TE,0000013516
00022329,,F,,1B12AB020,1B12AB020,Faculty of HASS & Education,School of Education,School of Education - Humanities Education,Senior Lecturer,AC,ATC,01,07,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000007476
00688057,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Student Scholarships Officer,GE,HEO5A,01,04,29/Jan/2018 ,28/Jan/2019 ,1,1,TE,0000010403
00663203,,F,,1B12AB010,1B12AB010,Faculty of HASS & Education,School of Education,School of Education - Early Childhood,Casual Academic,AC,CA,01,11,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013338
00681859,,F,,1B12AB050,1B12AB050,Faculty of HASS & Education,School of Education,School of Education - Contextual Studies,Lecturer in Contextual Studies in Education,AC,ATB,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000012922
00690349,,F,,1M01AE000,1M01AE000,Marketing and Public Affairs,M & PA - Future Students Team,M & PA - Future Students Team,Casual Student Rate 2,GE,HEOS2,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008944
00021667,,M,,1B13AE010,1B13AE010,Faculty of SABL,UNE Business School,UNE Business School - Accounting & Finance,Senior Lecturer in Finance,AC,ATC,01,02,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011434
00678842,,M,,1B12AC120,1B12AC120,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Music,Lecturer in Music,AC,ATB,01,04,01/Jul/2018 ,31/Dec/2049 ,0.4,0.5,PE,381
00680690,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Enrolments & Progression Officer,GE,HEO5A,05,03,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011703
00681963,,F,,1B12AB030,1B12AB030,Faculty of HASS & Education,School of Education,School of Education - Learning & Teaching,Casual Academic,AC,CA,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013340
00686819,,M,,1B13AD010,1B13AD010,Faculty of SABL,School of Law,Law,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008896
00690525,,M,,1B10AA000,1B10AA000,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Casual General HEO6,GE,CAS6,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008582
00677314,,M,,1B13AC020,1B13AC020,Faculty of SABL,School of Science & Technology,School of S&T - Physics & Electronics,Postdoctoral Research Fellow,AC,ARA,01,06,01/Jan/2018 ,30/Jul/2020 ,1,1,TE,0000013723
00677877,,F,,1M01AE000,1M01AE000,Marketing and Public Affairs,M & PA - Future Students Team,M & PA - Future Students Team,Casual General HEO3,GE,CAS3,01,05,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008944
00672326,,M,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011477
00660500,,M,,1B13AB080,1B13AB080,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Zoology,Associate Professor,AC,ATD,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009979
00681818,,F,,1B13AB040,1B13AB040,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Botany,Senior Lecturer in Plant Molecular Ecology,AC,ATC,06,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000008237
00670436,,M,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Senior Lecturer Molecular & Cellular Biology,AC,ATC,06,02,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000008157
00687195,,M,,1N01AB000,1N01AB000,Information Technology Services,IT - Information Services,IT - Information Services,Senior Systems Analyst and Developer,GE,HEO7A,03,02,20/Jun/2018 ,31/Dec/2049 ,1,1,PE,0000010795
00689137,,F,,1K03AC040,1K03AA000,University Library,University Library,University Library,Information Resources Access Librarian,GE,HEO6A,02,01,12/Dec/2017 ,31/Dec/2049 ,1,1,PE,0000008848
00187675,,M,,1N01AD000,1N01AD000,Information Technology Services,IT - Infrastructure Services,IT - Infrastructure Services,Snr Network & Communications Administrator,GE,HEO7A,05,02,05/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000010860
00665339,,F,,1B12AC200,1B12AC200,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Linguistics,Lecturer in Linguistics,AC,ATB,01,07,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000007685
00691309,,F,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Casual General HEO1,GE,CAS1,01,01,30/Jun/2018 ,29/Sep/2018 ,0,0,CA,0000013319
00691416,,M,,1N05AB000,1N05AB000,UNE Residential System,Earle Page College,Earle Page College,Casual Student Rate 1,GE,HEOS1,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012572
00691318,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Lecturer in Psychology,AC,ATB,01,01,08/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000013890
00691885,,F,,1B13AE000,1B13AE000,Faculty of SABL,UNE Business School,UNE Business School Office,Casual Student Rate 1,GE,HEOS1,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000009337
00691886,,M,,1B13AE000,1B13AE000,Faculty of SABL,UNE Business School,UNE Business School Office,Casual Student Rate 1,GE,HEOS1,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000009337
00020768,,M,,1B12AC190,1B12AC190,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Geography & Planning,Professor,AC,ATE,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,3320
00691659,,F,,1B13AB010,1B13AB010,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Agronomy & Soil Science,Casual Student Rate 2,GE,HEOS2,01,01,30/Jun/2018 ,22/Dec/2018 ,0,0,CA,0000013318
00668508,,M,,1B13AB09A,1B13AB09A,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Rural Properties - Kirby,Senior Technical Officer/Property Manager,GE,HEO7A,05,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011226
00690518,,M,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Clinical Nurse Educator - Nursing,AC,CNE,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008547
00148191,,F,,1B11AA000,1B11AA000,Academic Quality and Analytics,Academic Quality and Analytics,Academic Quality and Analytics,Casual General HEO9,GE,CAS9,01,33,30/Jun/2018 ,21/Dec/2018 ,0,0,CA,0000013806
00682136,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012376
00690974,,M,,1M01AE000,1M01AE000,Marketing and Public Affairs,M & PA - Future Students Team,M & PA - Future Students Team,Casual Student Rate 2,GE,HEOS2,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008944
00025266,,F,,1B14AA000,1B14AA000,Faculty of Medicine & Health,Office of Faculty of Medicine and Health,Office of Faculty of Medicine and Health,Faculty Manager,GE,HEO0A,01,03,05/Mar/2018 ,31/Dec/2049 ,1,1,PE,0000014061
00660550,,F,,1B12AB020,1B12AB020,Faculty of HASS & Education,School of Education,School of Education - Humanities Education,Senior Lecturer in Arts Education,AC,ATC,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,2845
00682334,,M,,1B12AB000,1B12AB000,Faculty of HASS & Education,School of Education,School of Education Office,Casual Academic,AC,CA,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008569
00691801,,M,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Casual General HEO 1,GE,CAS1,01,01,30/Jun/2018 ,29/Sep/2018 ,0,0,CA,0000013319
00674545,,F,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Lecturer in Rural Medicine,AC,ATB,01,03,01/Jan/2018 ,31/Dec/2049 ,0.2,0.2,PE,0000013846
00689123,,F,,1B13AD010,1B13AD010,Faculty of SABL,School of Law,Law,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008896
00688092,,F,,1L01AA000,1L01AA000,Research Services,Research Services,Research Services,HDR Analytics Project Officer,GE,HEO6A,01,01,03/Oct/2017 ,02/Oct/2020 ,1,1,TE,0000013911
00165842,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Manager (Information Services),GE,HEO9A,04,06,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009868
00689670,,M,,1B13AE000,1B13AE000,Faculty of SABL,UNE Business School,UNE Business School Office,Postdoctoral Fellow - Centre for Agribusiness,AC,ATB,05,01,24/Apr/2018 ,23/Apr/2020 ,1,1,TE,0000013596
00676287,,F,,1B14AB020,1B14AB020,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Pharmacy,Senior Lecturer in Pharmacy,AC,ATC,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000012105
00681924,,M,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Casual Academic,AC,CA,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013391
00023250,,M,,1B13AB040,1B13AB040,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Botany,Associate Professor,AC,ATD,03,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000008198
00691584,,M,,1B10AA000,1B10AA000,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala ITAS Tutor,AC,ITAS,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CANL,0000006719
00075503,,F,,1K03AC040,1K03AC040,University Library,Scholarly Resources,Information Resources Access,Information Resources Assistant (Access),GE,HEO4A,04,01,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,3904
